,Age,Fare,Survived,Pclass_2,Pclass_3,Sex_male,SibSp_1,SibSp_2,SibSp_3,SibSp_4,SibSp_5,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6
0,22,7.25,0,false,true,true,true,false,false,false,false,false,false,false,false,false,false
1,38,71.2833,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
2,26,7.925,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
3,35,53.1,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
4,35,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
6,54,51.8625,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
7,2,21.075,0,false,true,true,false,false,true,false,false,true,false,false,false,false,false
8,27,11.1333,1,false,true,false,false,false,false,false,false,false,true,false,false,false,false
9,14,30.0708,1,true,false,false,true,false,false,false,false,false,false,false,false,false,false
10,4,16.7,1,false,true,false,true,false,false,false,false,true,false,false,false,false,false
11,58,26.55,1,false,false,false,false,false,false,false,false,false,false,false,false,false,false
12,20,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
13,39,31.275,0,false,true,true,true,false,false,false,false,false,false,false,false,true,false
14,14,7.8542,0,false,true,false,false,false,false,false,false,false,false,false,false,false,false
15,55,16,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
16,2,29.125,0,false,true,true,false,false,false,true,false,true,false,false,false,false,false
18,31,18,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
20,35,26,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
21,34,13,1,true,false,true,false,false,false,false,false,false,false,false,false,false,false
22,15,8.0292,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
23,28,35.5,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false
24,8,21.075,0,false,true,false,false,false,true,false,false,true,false,false,false,false,false
25,38,31.3875,1,false,true,false,true,false,false,false,false,false,false,false,false,true,false
27,19,263,0,false,false,true,false,false,true,false,false,false,true,false,false,false,false
30,40,27.7208,0,false,false,true,false,false,false,false,false,false,false,false,false,false,false
33,66,10.5,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false
34,28,82.1708,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
35,42,52,0,false,false,true,true,false,false,false,false,false,false,false,false,false,false
37,21,8.05,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
38,18,18,0,false,true,false,false,true,false,false,false,false,false,false,false,false,false
39,14,11.2417,1,false,true,false,true,false,false,false,false,false,false,false,false,false,false
40,40,9.475,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
41,27,21,0,true,false,false,true,false,false,false,false,false,false,false,false,false,false
43,3,41.5792,1,true,false,false,true,false,false,false,false,false,true,false,false,false,false
44,19,7.8792,1,false,true,false,false,false,false,false,false,false,false,false,false,false,false
49,18,17.8,0,false,true,false,true,false,false,false,false,false,false,false,false,false,false
50,7,39.6875,0,false,true,true,false,false,false,true,false,true,false,false,false,false,false
51,21,7.8,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
52,49,76.7292,1,false,false,false,true,false,false,false,false,false,false,false,false,false,false
53,29,26,1,true,false,false,true,false,false,false,false,false,false,false,false,false,false
54,65,61.9792,0,false,false,true,false,false,false,false,false,true,false,false,false,false,false
56,21,10.5,1,true,false,false,false,false,false,false,false,false,false,false,false,false,false
57,28.5,7.2292,0,false,true,true,false,false,false,false,false,false,false,false,false,false,false
58,5,27.75,1,true,false,false,true,false,false,false,false,false,true,false,false,false,false
