,#,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation,Legendary,Total
0,1.0,45.0,49.0,49.0,65.0,65.0,45.0,1.0,False,318
1,2.0,60.0,62.0,63.0,80.0,80.0,60.0,1.0,False,405
2,3.0,80.0,82.0,83.0,100.0,100.0,80.0,1.0,False,525
3,3.0,80.0,100.0,123.0,122.0,120.0,80.0,1.0,False,625
6,6.0,78.0,84.0,78.0,109.0,85.0,100.0,1.0,False,534
7,6.0,78.0,130.0,111.0,130.0,85.0,100.0,1.0,False,634
8,6.0,78.0,104.0,78.0,159.0,115.0,100.0,1.0,False,634
15,12.0,60.0,45.0,50.0,90.0,80.0,70.0,1.0,False,395
16,13.0,40.0,35.0,30.0,20.0,20.0,50.0,1.0,False,195
17,14.0,45.0,25.0,50.0,25.0,25.0,35.0,1.0,False,205
18,15.0,65.0,90.0,40.0,45.0,80.0,75.0,1.0,False,395
19,15.0,65.0,150.0,40.0,15.0,80.0,145.0,1.0,False,495
20,16.0,40.0,45.0,40.0,35.0,35.0,56.0,1.0,False,251
21,17.0,63.0,60.0,55.0,50.0,50.0,71.0,1.0,False,349
22,18.0,83.0,80.0,75.0,70.0,70.0,101.0,1.0,False,479
23,18.0,83.0,80.0,80.0,135.0,80.0,121.0,1.0,False,579
26,21.0,40.0,60.0,30.0,31.0,31.0,70.0,1.0,False,262
27,22.0,65.0,90.0,65.0,61.0,61.0,100.0,1.0,False,442
36,31.0,90.0,92.0,87.0,75.0,85.0,76.0,1.0,False,505
39,34.0,81.0,102.0,77.0,85.0,75.0,85.0,1.0,False,505
44,39.0,115.0,45.0,20.0,45.0,25.0,20.0,1.0,False,270
45,40.0,140.0,70.0,45.0,85.0,50.0,45.0,1.0,False,435
46,41.0,40.0,45.0,35.0,30.0,40.0,55.0,1.0,False,245
47,42.0,75.0,80.0,70.0,65.0,75.0,90.0,1.0,False,455
48,43.0,45.0,50.0,55.0,75.0,65.0,30.0,1.0,False,320
49,44.0,60.0,65.0,70.0,85.0,75.0,40.0,1.0,False,395
50,45.0,75.0,80.0,85.0,110.0,90.0,50.0,1.0,False,490
51,46.0,35.0,70.0,55.0,45.0,55.0,25.0,1.0,False,285
52,47.0,60.0,95.0,80.0,60.0,80.0,30.0,1.0,False,405
53,48.0,60.0,55.0,50.0,40.0,55.0,45.0,1.0,False,305
54,49.0,70.0,65.0,60.0,90.0,75.0,90.0,1.0,False,450
67,62.0,90.0,95.0,95.0,70.0,90.0,70.0,1.0,False,510
75,69.0,50.0,75.0,35.0,70.0,30.0,40.0,1.0,False,300
76,70.0,65.0,90.0,50.0,85.0,45.0,55.0,1.0,False,390
77,71.0,80.0,105.0,65.0,100.0,70.0,70.0,1.0,False,490
78,72.0,40.0,40.0,35.0,50.0,100.0,70.0,1.0,False,335
79,73.0,80.0,70.0,65.0,80.0,120.0,100.0,1.0,False,515
80,74.0,40.0,80.0,100.0,30.0,30.0,20.0,1.0,False,300
