,carat,cut,color,clarity,depth,table,price,x,y,z,y/x
0,0.23,4,E,SI2,61.5,55.0,326,3.95,3.98,2.43,0.992462311557789
1,0.21,3,E,SI1,59.8,61.0,326,3.89,3.84,2.31,1.0130208333333335
2,0.23,2,E,VS1,56.9,65.0,327,4.05,4.07,2.31,0.9950859950859949
3,0.29,3,I,VS2,62.4,58.0,334,4.2,4.23,2.63,0.9929078014184397
4,0.31,2,J,SI2,63.3,58.0,335,4.34,4.35,2.75,0.9977011494252874
5,0.24,0,J,VVS2,62.8,57.0,336,3.94,3.96,2.48,0.9949494949494949
6,0.24,0,I,VVS1,62.3,57.0,336,3.95,3.98,2.47,0.992462311557789
7,0.26,0,H,SI1,61.9,55.0,337,4.07,4.11,2.53,0.9902676399026764
8,0.22,1,E,VS2,65.1,61.0,337,3.87,3.78,2.49,1.023809523809524
9,0.23,0,H,VS1,59.4,61.0,338,4.0,4.05,2.39,0.9876543209876544
10,0.3,2,J,SI1,64.0,55.0,339,4.25,4.28,2.73,0.9929906542056074
11,0.23,4,J,VS1,62.8,56.0,340,3.93,3.9,2.46,1.0076923076923077
12,0.22,3,F,SI1,60.4,61.0,342,3.88,3.84,2.33,1.0104166666666667
13,0.31,4,J,SI2,62.2,54.0,344,4.35,4.37,2.71,0.9954233409610983
14,0.2,3,E,SI2,60.2,62.0,345,3.79,3.75,2.27,1.0106666666666666
15,0.32,3,E,I1,60.9,58.0,345,4.38,4.42,2.68,0.9909502262443439
16,0.3,4,I,SI2,62.0,54.0,348,4.31,4.34,2.68,0.9930875576036866
17,0.3,2,J,SI1,63.4,54.0,351,4.23,4.29,2.7,0.9860139860139862
18,0.3,2,J,SI1,63.8,56.0,351,4.23,4.26,2.71,0.9929577464788734
19,0.3,0,J,SI1,62.7,59.0,351,4.21,4.27,2.66,0.9859484777517565
20,0.3,2,I,SI2,63.3,56.0,351,4.26,4.3,2.71,0.9906976744186047
21,0.23,0,E,VS2,63.8,55.0,352,3.85,3.92,2.48,0.9821428571428572
22,0.23,0,H,VS1,61.0,57.0,353,3.94,3.96,2.41,0.9949494949494949
23,0.31,0,J,SI1,59.4,62.0,353,4.39,4.43,2.62,0.9909706546275395
24,0.31,0,J,SI1,58.1,62.0,353,4.44,4.47,2.59,0.993288590604027
25,0.23,0,G,VVS2,60.4,58.0,354,3.97,4.01,2.41,0.9900249376558604
26,0.24,3,I,VS1,62.5,57.0,355,3.97,3.94,2.47,1.0076142131979695
27,0.3,0,J,VS2,62.2,57.0,357,4.28,4.3,2.67,0.9953488372093025
28,0.23,0,D,VS2,60.5,61.0,357,3.96,3.97,2.4,0.9974811083123425
29,0.23,0,F,VS1,60.9,57.0,357,3.96,3.99,2.42,0.9924812030075187
30,0.23,0,F,VS1,60.0,57.0,402,4.0,4.03,2.41,0.9925558312655086
31,0.23,0,F,VS1,59.8,57.0,402,4.04,4.06,2.42,0.9950738916256159
32,0.23,0,E,VS1,60.7,59.0,402,3.97,4.01,2.42,0.9900249376558604
33,0.23,0,E,VS1,59.5,58.0,402,4.01,4.06,2.4,0.9876847290640395
34,0.23,0,D,VS1,61.9,58.0,402,3.92,3.96,2.44,0.98989898989899
35,0.23,2,F,VS1,58.2,59.0,402,4.06,4.08,2.37,0.9950980392156862
36,0.23,2,E,VS1,64.1,59.0,402,3.83,3.85,2.46,0.9948051948051948
37,0.31,2,H,SI1,64.0,54.0,402,4.29,4.31,2.75,0.9953596287703017
38,0.26,0,D,VS2,60.8,59.0,403,4.13,4.16,2.52,0.9927884615384615
39,0.33,4,I,SI2,61.8,55.0,403,4.49,4.51,2.78,0.9955654101995567
40,0.33,4,I,SI2,61.2,56.0,403,4.49,4.5,2.75,0.9977777777777779
41,0.33,4,J,SI1,61.1,56.0,403,4.49,4.55,2.76,0.9868131868131869
42,0.26,2,D,VS2,65.2,56.0,403,3.99,4.02,2.61,0.992537313432836
43,0.26,2,D,VS1,58.4,63.0,403,4.19,4.24,2.46,0.9882075471698114
44,0.32,2,H,SI2,63.1,56.0,403,4.34,4.37,2.75,0.9931350114416475
45,0.29,3,F,SI1,62.4,58.0,403,4.24,4.26,2.65,0.995305164319249
46,0.32,0,H,SI2,61.8,55.0,403,4.35,4.42,2.71,0.9841628959276018
47,0.32,2,H,SI2,63.8,56.0,403,4.36,4.38,2.79,0.995433789954338
48,0.25,0,E,VS2,63.3,60.0,404,4.0,4.03,2.54,0.9925558312655086
49,0.29,0,H,SI2,60.7,60.0,404,4.33,4.37,2.64,0.9908466819221968
50,0.24,0,F,SI1,60.9,61.0,404,4.02,4.03,2.45,0.9975186104218361
51,0.23,4,G,VS1,61.9,54.0,404,3.93,3.95,2.44,0.9949367088607595
52,0.32,4,I,SI1,60.9,55.0,404,4.45,4.48,2.72,0.9933035714285714
53,0.22,3,E,VS2,61.6,58.0,404,3.93,3.89,2.41,1.0102827763496145
54,0.22,3,D,VS2,59.3,62.0,404,3.91,3.88,2.31,1.0077319587628866
55,0.3,4,I,SI2,61.0,59.0,405,4.3,4.33,2.63,0.9930715935334873
56,0.3,3,J,SI2,59.3,61.0,405,4.43,4.38,2.61,1.0114155251141552
57,0.3,0,I,SI1,62.6,57.0,405,4.25,4.28,2.67,0.9929906542056074
58,0.3,0,I,SI1,63.0,57.0,405,4.28,4.32,2.71,0.9907407407407407
59,0.3,2,I,SI1,63.2,55.0,405,4.25,4.29,2.7,0.9906759906759907
60,0.35,4,I,VS1,60.9,57.0,552,4.54,4.59,2.78,0.9891067538126362
61,0.3,3,D,SI1,62.6,59.0,552,4.23,4.27,2.66,0.9906323185011712
62,0.3,4,D,SI1,62.5,57.0,552,4.29,4.32,2.69,0.9930555555555555
63,0.3,4,D,SI1,62.1,56.0,552,4.3,4.33,2.68,0.9930715935334873
64,0.42,3,I,SI2,61.5,59.0,552,4.78,4.84,2.96,0.987603305785124
65,0.28,4,G,VVS2,61.4,56.0,553,4.19,4.22,2.58,0.9928909952606637
66,0.32,4,I,VVS1,62.0,55.3,553,4.39,4.42,2.73,0.9932126696832578
67,0.31,0,G,SI1,63.3,57.0,553,4.33,4.3,2.73,1.0069767441860467
68,0.31,3,G,SI1,61.8,58.0,553,4.35,4.32,2.68,1.0069444444444442
69,0.24,3,E,VVS1,60.7,58.0,553,4.01,4.03,2.44,0.9950372208436723
70,0.24,0,D,VVS1,61.5,60.0,553,3.97,4.0,2.45,0.9925
71,0.3,0,H,SI1,63.1,56.0,554,4.29,4.27,2.7,1.0046838407494145
72,0.3,3,H,SI1,62.9,59.0,554,4.28,4.24,2.68,1.009433962264151
73,0.3,3,H,SI1,62.5,57.0,554,4.29,4.25,2.67,1.0094117647058825
74,0.3,2,H,SI1,63.7,57.0,554,4.28,4.26,2.72,1.0046948356807512
75,0.26,0,F,VVS2,59.2,60.0,554,4.19,4.22,2.49,0.9928909952606637
76,0.26,0,E,VVS2,59.9,58.0,554,4.15,4.23,2.51,0.9810874704491725
77,0.26,0,D,VVS2,62.4,54.0,554,4.08,4.13,2.56,0.9878934624697338
78,0.26,0,D,VVS2,62.8,60.0,554,4.01,4.05,2.53,0.9901234567901235
79,0.26,0,E,VVS1,62.6,59.0,554,4.06,4.09,2.55,0.9926650366748165
80,0.26,0,E,VVS1,63.4,59.0,554,4.0,4.04,2.55,0.9900990099009901
81,0.26,0,D,VVS1,62.1,60.0,554,4.03,4.12,2.53,0.9781553398058253
82,0.26,4,E,VVS2,62.9,58.0,554,4.02,4.06,2.54,0.9901477832512315
83,0.38,4,I,SI2,61.6,56.0,554,4.65,4.67,2.87,0.9957173447537474
84,0.26,2,E,VVS1,57.9,60.0,554,4.22,4.25,2.45,0.9929411764705882
85,0.24,3,G,VVS1,62.3,59.0,554,3.95,3.92,2.45,1.0076530612244898
86,0.24,3,H,VVS1,61.2,58.0,554,4.01,3.96,2.44,1.0126262626262625
87,0.24,3,H,VVS1,60.8,59.0,554,4.02,4.0,2.44,1.005
88,0.24,3,H,VVS2,60.7,58.0,554,4.07,4.04,2.46,1.0074257425742574
89,0.32,3,I,SI1,62.9,58.0,554,4.35,4.33,2.73,1.0046189376443417
90,0.7,4,E,SI1,62.5,57.0,2757,5.7,5.72,3.57,0.9965034965034966
91,0.86,1,E,SI2,55.1,69.0,2757,6.45,6.33,3.52,1.018957345971564
92,0.7,4,G,VS2,61.6,56.0,2757,5.7,5.67,3.5,1.0052910052910053
93,0.71,0,E,VS2,62.4,57.0,2759,5.68,5.73,3.56,0.9912739965095985
94,0.78,0,G,SI2,63.8,56.0,2759,5.81,5.85,3.72,0.9931623931623932
95,0.7,2,E,VS2,57.5,58.0,2759,5.85,5.9,3.38,0.9915254237288135
96,0.7,2,F,VS1,59.4,62.0,2759,5.71,5.76,3.4,0.9913194444444444
97,0.96,1,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,1.0537815126050418
98,0.73,0,E,SI1,61.6,59.0,2760,5.77,5.78,3.56,0.9982698961937715
99,0.8,3,H,SI1,61.5,58.0,2760,5.97,5.93,3.66,1.0067453625632379
100,0.75,0,D,SI1,63.2,56.0,2760,5.8,5.75,3.65,1.008695652173913
101,0.75,3,E,SI1,59.9,54.0,2760,6.0,5.96,3.58,1.0067114093959733
102,0.74,4,G,SI1,61.6,55.0,2760,5.8,5.85,3.59,0.9914529914529915
103,0.75,3,G,VS2,61.7,58.0,2760,5.85,5.79,3.59,1.0103626943005182
104,0.8,4,I,VS1,62.9,56.0,2760,5.94,5.87,3.72,1.011925042589438
105,0.75,4,G,SI1,62.2,55.0,2760,5.87,5.8,3.63,1.0120689655172415
106,0.8,3,G,SI1,63.0,59.0,2760,5.9,5.81,3.69,1.0154905335628228
107,0.74,4,I,VVS2,62.3,55.0,2761,5.77,5.81,3.61,0.9931153184165232
108,0.81,4,F,SI2,58.8,57.0,2761,6.14,6.11,3.6,1.0049099836333877
109,0.59,4,E,VVS2,62.0,55.0,2761,5.38,5.43,3.35,0.990791896869245
110,0.8,4,F,SI2,61.4,57.0,2761,5.96,6.0,3.67,0.9933333333333333
111,0.74,4,E,SI2,62.2,56.0,2761,5.8,5.84,3.62,0.9931506849315068
112,0.9,3,I,VS2,63.0,58.0,2761,6.16,6.12,3.87,1.0065359477124183
113,0.74,0,G,SI1,62.2,59.0,2762,5.73,5.82,3.59,0.9845360824742269
114,0.73,4,F,VS2,62.6,56.0,2762,5.77,5.74,3.6,1.0052264808362368
115,0.73,4,F,VS2,62.7,53.0,2762,5.8,5.75,3.62,1.008695652173913
116,0.8,3,F,SI2,61.7,58.0,2762,5.98,5.94,3.68,1.0067340067340067
117,0.71,4,G,VS2,62.4,54.0,2762,5.72,5.76,3.58,0.9930555555555556
118,0.7,4,E,VS2,60.7,58.0,2762,5.73,5.76,3.49,0.9947916666666667
119,0.8,4,F,SI2,59.9,59.0,2762,6.01,6.07,3.62,0.9901153212520593
120,0.71,4,D,SI2,62.3,56.0,2762,5.73,5.69,3.56,1.0070298769771528
121,0.74,4,E,SI1,62.3,54.0,2762,5.8,5.83,3.62,0.9948542024013721
122,0.7,0,F,VS2,61.7,63.0,2762,5.64,5.61,3.47,1.0053475935828875
123,0.7,1,F,VS2,64.5,57.0,2762,5.57,5.53,3.58,1.0072332730560578
124,0.7,1,F,VS2,65.3,55.0,2762,5.63,5.58,3.66,1.0089605734767024
125,0.7,3,F,VS2,61.6,60.0,2762,5.65,5.59,3.46,1.0107334525939178
126,0.91,3,H,SI1,61.4,56.0,2763,6.09,5.97,3.7,1.020100502512563
127,0.61,0,D,VVS2,59.6,57.0,2763,5.56,5.58,3.32,0.996415770609319
128,0.91,1,H,SI2,64.4,57.0,2763,6.11,6.09,3.93,1.0032840722495895
129,0.91,1,H,SI2,65.7,60.0,2763,6.03,5.99,3.95,1.006677796327212
130,0.77,4,H,VS2,62.0,56.0,2763,5.89,5.86,3.64,1.0051194539249146
131,0.71,0,D,SI1,63.6,58.0,2764,5.64,5.68,3.6,0.9929577464788732
132,0.71,4,D,SI1,61.9,59.0,2764,5.69,5.72,3.53,0.9947552447552449
133,0.7,0,E,VS2,62.6,60.0,2765,5.62,5.65,3.53,0.9946902654867256
134,0.77,0,H,VS1,61.3,60.0,2765,5.88,5.9,3.61,0.9966101694915254
135,0.63,3,E,VVS1,60.9,60.0,2765,5.52,5.55,3.37,0.9945945945945945
136,0.71,0,F,VS1,60.1,62.0,2765,5.74,5.77,3.46,0.9948006932409014
137,0.71,3,F,VS1,61.8,59.0,2765,5.69,5.73,3.53,0.9930191972076788
138,0.76,4,H,SI1,61.2,57.0,2765,5.88,5.91,3.61,0.9949238578680203
139,0.64,4,G,VVS1,61.9,56.0,2766,5.53,5.56,3.43,0.9946043165467627
140,0.71,3,G,VS2,60.9,57.0,2766,5.78,5.75,3.51,1.0052173913043478
141,0.71,3,G,VS2,59.8,56.0,2766,5.89,5.81,3.5,1.0137693631669535
142,0.7,0,D,VS2,61.8,55.0,2767,5.68,5.72,3.52,0.993006993006993
143,0.7,0,F,VS1,60.0,57.0,2767,5.8,5.87,3.5,0.9880749574105622
144,0.71,4,D,SI2,61.6,55.0,2767,5.74,5.76,3.54,0.9965277777777779
145,0.7,2,H,VVS2,62.1,64.0,2767,5.62,5.65,3.5,0.9946902654867256
146,0.71,0,G,VS1,63.3,59.0,2768,5.52,5.61,3.52,0.9839572192513367
147,0.73,0,D,SI1,60.2,56.0,2768,5.83,5.87,3.52,0.9931856899488927
148,0.7,0,D,SI1,61.1,58.0,2768,5.66,5.73,3.48,0.987783595113438
149,0.7,4,E,SI1,60.9,57.0,2768,5.73,5.76,3.5,0.9947916666666667
150,0.71,3,D,SI2,61.7,59.0,2768,5.71,5.67,3.51,1.0070546737213404
151,0.74,4,I,SI1,61.3,56.0,2769,5.82,5.86,3.57,0.9931740614334471
152,0.71,3,D,VS2,62.5,60.0,2770,5.65,5.61,3.52,1.0071301247771836
153,0.73,3,G,VS2,61.4,59.0,2770,5.83,5.76,3.56,1.012152777777778
154,0.76,0,F,SI1,62.9,57.0,2770,5.79,5.81,3.65,0.9965576592082617
155,0.76,4,D,SI2,62.4,57.0,2770,5.78,5.83,3.62,0.9914236706689538
156,0.71,4,F,SI1,60.7,56.0,2770,5.77,5.8,3.51,0.9948275862068965
157,0.73,3,G,VS2,60.7,58.0,2770,5.87,5.82,3.55,1.0085910652920962
158,0.73,3,G,VS1,61.5,58.0,2770,5.79,5.75,3.55,1.0069565217391305
159,0.73,4,D,SI2,59.9,57.0,2770,5.92,5.89,3.54,1.0050933786078098
160,0.73,3,G,VS2,59.2,59.0,2770,5.92,5.87,3.49,1.008517887563884
161,0.72,0,H,VVS2,60.3,56.0,2771,5.81,5.83,3.51,0.9965694682675814
162,0.73,0,F,SI1,61.7,60.0,2771,5.79,5.82,3.58,0.9948453608247422
163,0.71,4,G,VS2,61.9,57.0,2771,5.73,5.77,3.56,0.9930675909878685
164,0.79,4,F,SI2,61.9,55.0,2771,5.97,5.92,3.68,1.0084459459459458
165,0.73,0,H,VVS1,60.4,59.0,2772,5.83,5.89,3.54,0.9898132427843803
166,0.8,0,F,SI2,61.0,57.0,2772,6.01,6.03,3.67,0.9966832504145936
167,0.58,4,G,VVS1,61.5,55.0,2772,5.39,5.44,3.33,0.9908088235294117
168,0.58,4,F,VVS1,61.7,56.0,2772,5.33,5.37,3.3,0.9925512104283054
169,0.71,2,E,VS2,59.2,61.0,2772,5.8,5.88,3.46,0.9863945578231292
170,0.75,4,D,SI2,61.3,56.0,2773,5.85,5.89,3.6,0.9932088285229203
171,0.7,3,D,VS2,58.0,62.0,2773,5.87,5.78,3.38,1.0155709342560553
