,carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
0,0.23,61.5,55.0,3.95,3.98,2.43,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,326
1,0.21,59.8,61.0,3.89,3.84,2.31,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,326
2,0.23,56.9,65.0,4.05,4.07,2.31,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,327
3,0.29,62.4,58.0,4.2,4.23,2.63,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,334
4,0.31,63.3,58.0,4.34,4.35,2.75,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,335
5,0.24,62.8,57.0,3.94,3.96,2.48,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,336
6,0.24,62.3,57.0,3.95,3.98,2.47,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,336
7,0.26,61.9,55.0,4.07,4.11,2.53,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,337
8,0.22,65.1,61.0,3.87,3.78,2.49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,337
9,0.23,59.4,61.0,4.0,4.05,2.39,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,338
10,0.3,64.0,55.0,4.25,4.28,2.73,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,339
11,0.23,62.8,56.0,3.93,3.9,2.46,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,340
12,0.22,60.4,61.0,3.88,3.84,2.33,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,342
13,0.31,62.2,54.0,4.35,4.37,2.71,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,344
14,0.2,60.2,62.0,3.79,3.75,2.27,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,345
15,0.32,60.9,58.0,4.38,4.42,2.68,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,345
16,0.3,62.0,54.0,4.31,4.34,2.68,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,348
17,0.3,63.4,54.0,4.23,4.29,2.7,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,351
