,carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
90,0.7,62.5,57.0,5.7,5.72,3.57,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2757.0
91,0.86,55.1,69.0,6.45,6.33,3.52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2757.0
92,0.7,61.6,56.0,5.7,5.67,3.5,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2757.0
93,0.71,62.4,57.0,5.68,5.73,3.56,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2759.0
94,0.78,63.8,56.0,5.81,5.85,3.72,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2759.0
95,0.7,57.5,58.0,5.85,5.9,3.38,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2759.0
96,0.7,59.4,62.0,5.71,5.76,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2759.0
97,0.96,66.3,62.0,6.27,5.95,4.07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2759.0
98,0.73,61.6,59.0,5.77,5.78,3.56,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2760.0
99,0.8,61.5,58.0,5.97,5.93,3.66,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2760.0
100,0.75,63.2,56.0,5.8,5.75,3.65,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2760.0
101,0.75,59.9,54.0,6.0,5.96,3.58,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2760.0
102,0.74,61.6,55.0,5.8,5.85,3.59,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2760.0
103,0.75,61.7,58.0,5.85,5.79,3.59,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2760.0
104,0.8,62.9,56.0,5.94,5.87,3.72,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2760.0
105,0.75,62.2,55.0,5.87,5.8,3.63,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2760.0
106,0.8,63.0,59.0,5.9,5.81,3.69,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2760.0
107,0.74,62.3,55.0,5.77,5.81,3.61,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2761.0
108,0.81,58.8,57.0,6.14,6.11,3.6,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2761.0
109,0.59,62.0,55.0,5.38,5.43,3.35,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2761.0
110,0.8,61.4,57.0,5.96,6.0,3.67,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2761.0
111,0.74,62.2,56.0,5.8,5.84,3.62,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2761.0
112,0.9,63.0,58.0,6.16,6.12,3.87,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2761.0
113,0.74,62.2,59.0,5.73,5.82,3.59,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,2762.0
114,0.73,62.6,56.0,5.77,5.74,3.6,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
115,0.73,62.7,53.0,5.8,5.75,3.62,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2762.0
116,0.8,61.7,58.0,5.98,5.94,3.68,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2762.0
117,0.71,62.4,54.0,5.72,5.76,3.58,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2762.0
118,0.7,60.7,58.0,5.73,5.76,3.49,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2762.0
119,0.8,59.9,59.0,6.01,6.07,3.62,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2762.0
