,carat,cut,depth,table,x,y,z,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price
97,1.2,1,66.3,62.0,6.27,5.95,4.07,0,1,0,0,0,0,0,0,1,0,0,0,0,2759
172,1.2,3,60.2,61.0,6.83,6.9,4.13,0,0,0,0,0,1,0,0,0,0,0,0,0,2774
204,1.2,1,67.9,60.0,6.05,5.97,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,2777
241,1.2,1,64.5,58.0,6.29,6.21,4.03,1,0,0,0,0,0,0,0,0,0,0,0,0,2788
247,1.2,3,63.2,56.0,6.49,6.45,4.09,0,0,0,0,0,1,0,0,1,0,0,0,0,2789
255,1.2,1,65.8,59.0,6.41,6.27,4.18,0,0,0,0,0,1,0,0,1,0,0,0,0,2789
298,1.2,1,67.4,60.0,6.19,6.05,4.13,1,0,0,0,0,0,0,0,1,0,0,0,0,2797
369,1.2,1,66.4,59.0,6.16,6.09,4.07,0,0,1,0,0,0,0,0,0,0,0,0,0,2808
376,1.2,1,64.6,56.0,6.73,6.66,4.33,0,1,0,0,0,0,0,0,0,0,0,0,0,2809
384,1.2,1,65.7,59.0,6.14,6.07,4.01,0,0,0,0,0,1,0,0,0,0,1,0,0,2811
385,1.2,1,68.1,56.0,6.21,6.06,4.18,0,0,0,0,1,0,0,0,1,0,0,0,0,2811
472,1.2,1,65.3,62.0,6.34,6.12,4.08,0,0,0,1,0,0,0,0,1,0,0,0,0,2818
525,1.2,4,60.2,61.0,6.9,6.83,4.13,0,0,0,0,0,1,0,0,0,0,0,0,0,2825
635,1.2,1,66.7,56.0,6.16,6.03,4.06,0,0,1,0,0,0,0,1,0,0,0,0,0,2841
654,1.2,2,63.1,57.0,6.35,6.39,4.02,0,0,0,0,1,0,0,0,0,0,0,0,0,2844
659,1.27,4,59.3,61.0,7.12,7.05,4.2,0,0,0,1,0,0,0,0,1,0,0,0,0,2845
663,1.2,1,65.4,59.0,6.3,6.26,4.11,0,0,0,1,0,0,0,0,1,0,0,0,0,2846
682,1.2,3,63.1,60.0,6.75,6.67,4.23,0,0,0,1,0,0,0,0,0,0,0,0,0,2850
710,1.2,2,63.6,57.0,6.38,6.29,4.03,0,0,0,0,0,1,0,1,0,0,0,0,0,2855
714,1.2,1,67.8,61.0,5.96,5.9,4.02,0,0,1,0,0,0,0,0,1,0,0,0,0,2856
