,carat,cut,color,clarity,depth,table,price,x,y,z,x/y,density
97,1.2,1,F,SI2,66.3,62.0,2759,6.27,5.95,4.07,1.0537815126050418,0.00632255065128693
172,1.2,3,J,I1,60.2,61.0,2774,6.83,6.9,4.13,0.989855072463768,0.006011266963910973
204,1.2,1,H,SI2,67.9,60.0,2777,6.05,5.97,4.08,1.0134003350083751,0.0066502229724759495
241,1.2,1,E,I1,64.5,58.0,2788,6.29,6.21,4.03,1.0128824476650564,0.006416143698546141
247,1.2,3,J,SI2,63.2,56.0,2789,6.49,6.45,4.09,1.006201550387597,0.006132839225078968
255,1.2,1,J,SI2,65.8,59.0,2789,6.41,6.27,4.18,1.0223285486443383,0.006250106921471979
298,1.2,1,E,SI2,67.4,60.0,2797,6.19,6.05,4.13,1.0231404958677688,0.0065301821949927275
369,1.2,1,G,I1,66.4,59.0,2808,6.16,6.09,4.07,1.0114942528735633,0.006549491547252406
376,1.2,1,F,I1,64.6,56.0,2809,6.73,6.66,4.33,1.0105105105105106,0.006183068476957821
384,1.2,1,J,VS2,65.7,59.0,2811,6.14,6.07,4.01,1.0115321252059306,0.006691116094089351
385,1.2,1,I,SI2,68.1,56.0,2811,6.21,6.06,4.18,1.0247524752475248,0.006293535532042907
472,1.2,1,H,SI2,65.3,62.0,2818,6.34,6.12,4.08,1.0359477124183005,0.006316829529692333
525,1.2,4,J,I1,60.2,61.0,2825,6.9,6.83,4.13,1.0102489019033676,0.006011266963910973
635,1.2,1,G,SI1,66.7,56.0,2841,6.16,6.03,4.06,1.021558872305141,0.00629940524065956
654,1.2,2,I,I1,63.1,57.0,2844,6.35,6.39,4.02,0.9937402190923318,0.006191854425456297
659,1.27,4,H,SI2,59.3,61.0,2845,7.12,7.05,4.2,1.0099290780141845,0.006024004948222017
663,1.2,1,H,SI2,65.4,59.0,2846,6.3,6.26,4.11,1.0063897763578276,0.006231099255982071
682,1.2,3,H,I1,63.1,60.0,2850,6.75,6.67,4.23,1.0119940029985008,0.006301026003940503
710,1.2,2,J,SI1,63.6,57.0,2855,6.38,6.29,4.03,1.0143084260731319,0.006368847564947806
714,1.2,1,G,SI2,67.8,61.0,2856,5.96,5.9,4.02,1.0101694915254236,0.007074172986732814
719,1.2,1,I,SI1,67.9,62.0,2856,6.19,6.03,4.15,1.0265339966832505,0.006455708946427976
750,1.2,1,H,SI2,66.1,56.0,2856,6.21,5.97,4.04,1.0402010050251256,0.006676559190888624
800,1.22,4,E,I1,60.9,57.0,2862,6.93,6.88,4.21,1.007267441860465,0.006077935150464566
801,1.2,1,E,SI2,67.6,57.0,2862,6.21,6.11,4.18,1.0163666121112929,0.006368135293594176
839,1.2,1,F,SI2,68.2,61.0,2867,6.07,5.88,4.1,1.032312925170068,0.006560264641075621
844,1.2,4,D,I1,61.9,60.0,2869,6.55,6.48,4.03,1.0108024691358024,0.0063139683922742275
895,1.2,1,H,SI2,67.7,60.0,2875,6.11,5.98,4.09,1.0217391304347825,0.006691666644026527
897,1.2,1,J,VS1,65.5,55.0,2875,6.3,6.25,4.11,1.008,0.006179276252268952
898,1.2,1,I,SI1,66.3,61.0,2875,6.08,6.03,4.01,1.0082918739635158,0.006801970373011348
899,1.2,1,H,SI2,69.5,55.0,2875,6.17,6.1,4.26,1.0114754098360657,0.006236995085622092
925,1.2,4,H,I1,62.0,59.0,2881,6.5,6.47,4.02,1.0046367851622875,0.0062107723184103274
934,1.2,1,I,SI2,65.3,55.0,2884,6.32,6.27,4.11,1.0079744816586922,0.006324275546254081
967,1.2,1,H,I1,65.1,59.0,2892,6.62,6.55,4.29,1.0106870229007634,0.006397206646278393
991,1.2,3,I,I1,63.1,57.0,2896,6.39,6.35,4.02,1.0062992125984251,0.006191854425456297
999,1.2,4,J,SI2,60.6,59.0,2898,6.68,6.61,4.03,1.010590015128593,0.006294120520404179
1096,1.2,1,H,SI2,65.2,54.0,2912,6.3,6.22,4.08,1.0128617363344052,0.006254734834269542
1097,1.2,1,I,SI1,66.0,56.0,2912,6.31,6.24,4.13,1.0112179487179487,0.006149446102171128
1098,1.2,1,H,SI2,67.0,55.0,2912,6.25,6.12,4.16,1.0212418300653594,0.00628456510809452
1163,1.2,4,I,I1,60.5,58.0,2925,6.9,6.79,4.14,1.01620029455081,0.006186742491382641
1199,1.2,1,I,I1,65.4,62.0,2935,6.68,6.57,4.33,1.0167427701674276,0.006156815414695617
1224,1.24,3,J,I1,61.9,55.0,2940,6.85,6.92,4.26,0.9898843930635838,0.006140665208357724
1235,1.2,1,G,SI2,65.7,59.0,2942,6.3,6.24,4.12,1.0096153846153846,0.00635938135938136
1238,1.2,1,G,SI2,67.1,59.0,2942,6.27,6.19,4.18,1.0129240710823908,0.006225681547857794
1270,1.2,1,E,SI2,65.8,58.0,2948,6.28,6.16,4.09,1.0194805194805194,0.006320280252350082
1361,1.2,1,G,SI1,65.7,54.0,2964,6.24,6.16,4.07,1.012987012987013,0.0063920518465973
1362,1.5,1,H,I1,65.6,54.0,2964,7.26,7.09,4.7,1.0239774330042313,0.006200269190887191
1412,1.2,1,H,I1,64.8,59.0,2968,6.52,6.42,4.19,1.0155763239875388,0.006442906022928899
1414,1.2,4,I,SI2,61.5,57.0,2968,6.57,6.49,4.02,1.012326656394453,0.006184003772102286
1438,1.2,1,D,SI2,69.3,58.0,2974,5.96,5.87,4.1,1.0153321976149914,0.0069715891012311
1487,1.2,3,G,I1,63.2,58.0,2988,6.44,6.34,4.04,1.0157728706624607,0.00624425649650021
1506,1.2,1,G,SI1,65.1,57.0,2993,6.27,6.22,4.07,1.0080385852090032,0.006363104256918008
1510,1.24,4,J,I1,61.9,55.0,2994,6.92,6.85,4.26,1.0102189781021897,0.006140665208357724
1523,1.2,1,J,VVS2,66.0,56.0,2998,6.29,6.22,4.13,1.0112540192926045,0.006250723552195343
1554,1.2,1,D,SI2,64.6,56.0,3003,6.31,6.24,4.05,1.0112179487179487,0.006333625808885538
1597,1.2,1,J,I1,64.9,59.0,3011,6.61,6.54,4.27,1.0107033639143732,0.0065009101436723895
1598,1.2,1,I,I1,62.2,66.0,3011,6.77,6.7,4.2,1.0104477611940297,0.006298954688469448
